city,inhabitants
Abadiño,7754
Abanto y Ciérvana-Abanto Zierbena,9501
Aduna,483
Agurain/Salvatierra,5353
Aia,1985
Aizarnazabal,769
Ajangiz,440
Albiztur,293
Alegia,1798
Alegría-Dulantzi,3140
Alkiza,350
Alonsotegi,2822
Altzaga,183
Altzo,390
Amezketa,920
Amorebieta-Etxano,19290
Amurrio,10330
Andoain,14988
Anoeta,2030
Antzuola,2179
Arama,204
Aramaio,1480
Arantzazu,388
Areatza,1230
Aretxabaleta,7080
Armiñón,223
Arraia-Maeztu,732
Arrasate/Mondragón,22082
Arratzua-Ubarrundia,1035
Arrieta,563
Arrigorriaga,11943
Artea,721
Artzentales,671
Artziniega,1911
Asparrena,1616
Asteasu,1560
Astigarraga,6674
Ataun,1747
Atxondo,1385
Aulesti,668
Ayala/Aiara,2895
Azkoitia,11983
Azpeitia,15220
Bakio,2627
Balmaseda,7638
Baños de Ebro/Mañueta,321
Barakaldo,99000
Barrika,1531
Barrundia,941
Basauri,40969
Beasain,14021
Bedia,1049
Belauntza,261
Berango,7265
Berantevilla,499
Berastegi,1052
Bergara,15036
Bermeo,16910
Bernedo,530
Berriatua,1257
Berriz,4662
Bidania-Goiatz,560
Bilbao,346478
Villabona,5917
Busturia,1622
Campezo/Kanpezu,1061
Deba,5453
Derio,6569
Dima,1438
Donostia / San Sebastián,182391
Durango,29762
Eibar,27474
Elantxobe,357
Elburgo/Burgelu,637
Elciego,1035
Elgeta,1131
Elgoibar,11540
Elorrio,7448
Elvillar/Bilar,352
Erandio,24433
Ereño,276
Ermua,16019
Errenteria,40176
Errezil,621
Erriberagoitia/Ribera Alta,830
Errigoiti,490
Eskoriatza,4103
Etxebarri,11460
Etxebarria,745
Ezkio-Itsaso,634
Forua,904
Fruiz,559
Galdakao,29493
Galdames,844
Gamiz-Fika,1361
Gatika,1649
Gautegiz Arteaga,847
Gernika-Lumo,16808
Getaria,2830
Getxo,76953
Gizaburuaga,200
Gordexola,1723
Gorliz,5935
Güeñes,6563
Hernani,20124
Hernialde,305
Hondarribia,16984
Ibarra,4306
Ibarrangelu,621
Idiazabal,2380
Igorre,4214
Ikaztegieta,486
Irun,60208
Iruña Oka/Iruña de Oca,3590
Irura,1812
Iruraiz-Gauna,546
Ispaster,744
Itsasondo,728
Iurreta,3688
Izurtza,287
Karrantza Harana/Valle de Carranza,2834
Kortezubi,442
Labastida/Bastida,1561
Laguardia,1534
Lanciego/Lantziego,753
Lanestosa,275
Lantarón,945
Lapuebla de Labarca,879
Larrabetzu,2052
Lasarte-Oria,19045
Laudio/Llodio,18351
Laukiz,1197
Lazkao,5632
Leaburu,378
Legazpi,8409
Legorreta,1490
Legutio,1832
Leioa,31424
Lekeitio,7227
Lemoa,3628
Lemoiz,1257
Leza,226
Lezama,2413
Lezo,6080
Lizartza,649
Loiu,2311
Mallabia,1190
Mañaria,522
Markina-Xemein,5025
Maruri-Jatabe,916
Mendaro,2115
Mendata,405
Mendexa,472
Meñaka,704
Morga,387
Mundaka,1843
Mungia,17278
Munitibar-Arbatzegi Gerrikaitz,458
Murueta,311
Muskiz,7479
Mutiloa,255
Mutriku,5314
Muxika,1495
Nabarniz,235
Oiartzun,10369
Okondo,1217
Olaberria,917
Ondarroa,8567
Oñati,11468
Ordizia,10070
Orexa,106
Orio,6132
Ormaiztegi,1276
Orozko,2631
Ortuella,8310
Otxandio,1355
Oyón-Oion,3521
Pasaia,16722
Peñacerrada-Urizaharra,288
Plentzia,4400
Portugalete,46153
Ribera Baja/Erribera Beitia,1601
Samaniego,241
San Millán/Donemiliaga,726
Santurtzi,45943
Segura,1533
Sestao,27246
Sondika,4534
Sopela,13175
Sopuerta,2512
Soraluze-Placencia de las Armas,3974
Sukarrieta,334
Tolosa,19400
Trucios-Turtzioz,520
Ubide,180
Ugao-Miraballes,4108
Urduliz,4515
Urduña/Orduña,4233
Urkabustaiz,1450
Urnieta,6209
Urretxu,6829
Usurbil,6308
Valdegovía/Gaubea,1064
Valle de Trápaga-Trapagaran,11855
Villabuena de Álava/Eskuernaga,282
Vitoria-Gasteiz,248087
Yécora/Iekora,267
Zaldibar,3045
Zaldibia,1658
Zalduondo,197
Zalla,8441
Zambrana,446
Zamudio,3313
Zaratamo,1647
Zarautz,23347
Zeanuri,1254
Zeberio,1084
Zegama,1521
Zestoa,3894
Zierbena,1524
Zigoitia,1707
Ziortza-Bolibar,439
Zizurkil,3035
Zuia,2362
Zumaia,9827
Zumarraga,9821
